x1 x2 x3 x4 x5 x6 x7 x8 y
1 -15 -10 -14 -8 2 -4 -10 59 8.88
2 9 0 8 -8 18 8 -18 74 12.18
3 -3 4 10 0 16 -14 6 49 5.75
4 -19 6 12 -16 8 -6 4 95 11.75
5 -3 0 6 4 -8 22 -16 57 10.52
6 11 -32 -38 10 -16 -2 10 97 10.57
7 11 2 0 18 -18 12 4 27 1.7
8 -11 32 38 -10 16 2 -10 62 5.31
9 -3 -2 -16 -12 -6 -8 -10 56 8.51
10 9 14 30 12 6 12 0 60 1.21
11 -3 -6 -2 4 -8 -6 -6 43 3.36
12 -9 12 12 -12 26 -8 -8 53 8.26
13 5 -24 -36 -2 -6 4 -4 72 10.14
14 -11 16 8 -14 8 -10 10 67 -0.58
15 -3 8 -4 -16 18 -16 2 24 7.1
16 7 0 18 6 -2 8 4 61 -0.63
17 9 18 16 -4 8 10 -4 68 5.87
18 11 -6 4 10 16 2 2 7 -0.25
19 -1 12 -4 -6 2 -4 -14 10 -9.45
20 -7 16 12 -2 10 4 -24 58 8.93
21 1 -12 4 6 -2 4 14 76 18.88
22 -3 -20 -10 16 -18 12 8 69 4.01
23 -11 -14 -20 2 -26 -12 22 78 8.48
24 13 -2 4 20 0 14 -14 6 -0.16
25 -21 12 10 0 0 6 -6 43 7.26
26 -1 6 8 -8 -10 -16 18 49 1.69
27 1 8 20 -6 8 14 -10 2 -4.46
28 -1 8 10 10 0 -2 -10 49 3.36
29 5 -10 -14 18 -18 8 14 67 7.53
30 7 4 4 -10 0 6 0 68 3.91
31 3 16 24 0 16 -10 -4 77 6.73
32 15 10 14 8 -2 4 10 1 -2.91
33 5 -28 -22 14 -8 6 0 97 8.8
34 -5 -10 -2 -6 8 -18 10 1 1.8
35 -13 -2 10 -4 -2 -12 18 7 -2.4
36 7 -16 -12 2 -10 -4 24 94 6.25
37 -7 0 -18 -6 2 -8 -4 89 15.6
38 -1 -20 -20 2 2 12 -14 28 1.06
39 -3 12 6 8 -18 -4 8 92 9.99
40 -9 0 -8 8 -18 -8 18 94 2.1
41 -3 -16 -24 0 -16 10 4 7 1.63
42 -9 -14 -30 -12 -6 -12 0 11 5.84
43 7 -14 -10 20 0 10 -4 1 -2.3
44 7 6 6 8 10 20 -28 1 1.42
45 -5 -6 -16 -22 10 -20 6 93 2.67
46 7 -10 -24 4 2 8 -8 38 -6.93
47 -3 10 18 0 16 14 -4 16 0.75
48 -15 8 -6 -4 -8 -2 4 96 14.31
49 -5 8 6 -2 -2 -16 24 23 2.93
50 3 -8 4 16 -18 16 -2 68 2.06
51 3 2 16 12 6 8 10 89 5.97
52 -11 -2 0 -18 18 -12 -4 88 9.78
53 11 -2 -10 -6 18 0 -2 73 10.2
54 -15 4 8 12 -10 0 8 80 8.9
55 -5 10 14 -18 18 -8 -14 84 7.55
56 3 -4 -10 0 -16 14 -6 80 7.11
