Substrate        I0         I3     I10        I30            y  
       S1      2500          0       0          0       0.0328
       S2        50          0       0          0       0.0510
       S3      1000          0       0          0       0.0697
       S4      2000          0       0          0       0.0934
       S5      4000          0       0          0       0.0924
       S1         0       2500       0          0       0.0153
       S2         0       5000       0          0       0.0327
       S3         0       1000       0          0       0.0536
       S4         0       2000       0          0       0.0716
       S5         0       4000       0          0       0.0904
       S1         0           0   2500          0       0.0087
       S2         0           0   5000          0       0.0146
       S3         0           0   1000          0       0.0231
       S4         0           0   2000          0       0.0305
       S5         0           0   4000          0       0.0658
       S1         0           0      0       2500       0.0039
       S3         0           0      0       1000       0.0094
       S4         0           0      0       2000       0.0175
       S5         0           0      0       4000       0.0398
